@RELATION SWA_classification

@ATTRIBUTE s_str STRING
@ATTRIBUTE t_str STRING
@ATTRIBUTE st_samestr {0,1}
@ATTRIBUTE s_stem STRING
@ATTRIBUTE t_stem STRING
@ATTRIBUTE st_samestem {0,1}
@ATTRIBUTE s_pos STRING
@ATTRIBUTE t_pos STRING
@ATTRIBUTE st_precede {0,1}
@ATTRIBUTE st_follow {0,1}
@ATTRIBUTE class {preserved,bigrammar-vtense,bigrammar-wform,bigrammar-inter,paraphrase,unaligned,mogrammar-prep,mogrammar-det,bigrammar-prep,bigrammar-det,bigrammar-others,typo,spelling,duplicate,moproblematic,biproblematic,unspec}

@DATA
'will illustrate',illustrates,0,'will illustrate',illustrate,0,'MD PPR',VBZ,1,1,bigrammar-vtense
the,the,1,the,the,1,DET,DET,0,0,preserved
'necessity for',need,0,'necessity for',need,0,'NN POS',NN,1,0,paraphrase
handling,'to handle',0,handle,'to handle',0,NN,'TO PPR',0,0,paraphrase
various,different,0,various,different,0,JJ,JJ,0,1,paraphrase
sentence,sentence,1,sentence,sentence,1,NN,NN,0,1,preserved
constructions,constructions,1,construction,construction,1,NNS,NNS,1,0,preserved
by,through,0,by,through,0,IN,IN,1,1,bigrammar-prep
fundamental,fundamental,1,fundamental,fundamental,1,JJ,JJ,0,1,preserved
improvement,improvement,1,improvement,improvement,1,NN,NN,1,1,preserved
of,of,1,of,of,1,IN,IN,1,0,preserved
parsers,parsers,1,parser,parser,1,NNS,NNS,0,1,preserved
such,such,1,such,such,1,JJ,JJ,1,1,preserved
as,as,1,as,as,1,IN,IN,1,1,preserved
re-construction,re-construction,1,re-construction,re-construction,1,JJ,JJ,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
feature,feature,1,feature,feature,1,NN,NN,1,1,preserved
designs,designs,1,design,design,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
Parsing,Parsing,1,Parsing,Parsing,1,NNP,NNP,1,1,preserved
is,is,1,be,be,1,VBZ,VBZ,1,1,preserved
a,a,1,a,a,1,DET,DET,1,1,preserved
fundamental,fundamental,1,fundamental,fundamental,1,JJ,JJ,1,1,preserved
natural,natural,1,natural,natural,1,JJ,JJ,1,1,preserved
language,language,1,language,language,1,NN,NN,1,1,preserved
processing,processing,1,process,process,1,NN,NN,1,1,preserved
task,task,1,task,task,1,NN,NN,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
essential,essential,1,essential,essential,1,JJ,JJ,1,0,preserved
for,to,0,for,to,0,IN,TO,1,1,bigrammar-prep
various,various,1,various,various,1,JJ,JJ,0,1,preserved
NLP,NLP,1,NLP,NLP,1,NNP,NNP,1,1,preserved
applications,applications,1,application,application,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
Recent,Recent,1,Recent,Recent,1,JJ,JJ,1,1,preserved
research,research,1,research,research,1,NN,NN,1,1,preserved
on,on,1,on,on,1,IN,IN,1,1,preserved
parsing,parsing,1,parse,parse,1,VBG,VBG,1,1,preserved
technologies,technologies,1,technology,technology,1,NNS,NNS,1,1,preserved
has,has,1,have,have,1,VBZ,VBZ,1,1,preserved
achieved,achieved,1,achieve,achieve,1,VBN,VBN,1,1,preserved
high,high,1,high,high,1,JJ,JJ,1,1,preserved
parsing,parsing,1,parse,parse,1,VBG,VBG,1,0,preserved
accuracies,accuracy,0,accuracy,accuracy,1,NNS,NN,1,0,bigrammar-others
on,in,0,on,in,0,IN,IN,0,1,bigrammar-prep
the,the,1,the,the,1,DET,DET,0,1,preserved
same,same,1,same,same,1,JJ,JJ,1,0,preserved
domains,domain,0,domain,domain,1,NNS,NN,1,1,bigrammar-others
as,as,1,as,as,1,IN,IN,0,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
training,training,1,train,train,1,NN,NN,1,1,preserved
data,data,1,datum,datum,1,NNS,NNS,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
but,but,1,but,but,1,CC,CC,1,1,preserved
once,once,1,once,once,1,RB,RB,1,1,preserved
we,we,1,we,we,1,PRP,PRP,1,1,preserved
move,move,1,move,move,1,NN,NN,1,1,preserved
to,to,1,to,to,1,TO,TO,1,1,preserved
unfamiliar,unfamiliar,1,unfamiliar,unfamiliar,1,JJ,JJ,1,1,preserved
domains,domains,1,domain,domain,1,NNS,NNS,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
the,the,1,the,the,1,DET,DET,1,0,preserved
performances,performance,0,performance,performance,1,NNS,NN,1,0,bigrammar-others
decrease,decreases,0,decrease,decrease,1,NN,NNS,0,0,bigrammar-inter
at,to,0,at,to,0,IN,TO,0,1,bigrammar-prep
unignorable,unignorable,1,unignorable,unignorable,1,NN,NN,0,1,preserved
levels,levels,1,level,level,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
To,To,1,To,To,1,TO,TO,1,1,preserved
address,address,1,address,address,1,NN,NN,1,1,preserved
this,this,1,this,this,1,DET,DET,1,1,preserved
problem,problem,1,problem,problem,1,NN,NN,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
previous,previous,1,previous,previous,1,JJ,JJ,1,1,preserved
work,work,1,work,work,1,NN,NN,1,1,preserved
has,has,1,have,have,1,VBZ,VBZ,1,0,preserved
mainly,mainly,1,mainly,mainly,1,RB,RB,0,0,preserved
focused,focused,1,focus,focus,1,VBN,VBN,0,0,preserved
on,on,1,on,on,1,IN,IN,0,1,preserved
adapting,adapting,1,adapt,adapt,1,NN,NN,1,1,preserved
lexical,lexical,1,lexical,lexical,1,NN,NN,1,1,preserved
or,or,1,or,or,1,CC,CC,1,1,preserved
syntactic,syntactic,1,syntactic,syntactic,1,NN,NN,1,1,preserved
preferences,preferences,1,preference,preference,1,NNS,NNS,1,1,preserved
to,to,1,to,to,1,TO,TO,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
target,target,1,target,target,1,NN,NN,1,1,preserved
domain,domain,1,domain,domain,1,NN,NN,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
that,that,1,that,that,1,IN,IN,1,1,preserved
is,is,1,be,be,1,VBZ,VBZ,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
on,on,1,on,on,1,IN,IN,1,1,preserved
adding,adding,1,add,add,1,VBG,VBG,1,1,preserved
lexical,lexical,1,lexical,lexical,1,NN,NN,1,1,preserved
knowledge,knowledge,1,knowledge,knowledge,1,NN,NN,1,1,preserved
or,or,1,or,or,1,CC,CC,1,1,preserved
adjusting,adjusting,1,adjust,adjust,1,VBG,VBG,1,1,preserved
probabilistic,probabilistic,1,probabilistic,probabilistic,1,NN,NN,1,1,preserved
models,models,1,model,model,1,NNS,NNS,1,1,preserved
for,for,1,for,for,1,IN,IN,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
target,target,1,target,target,1,NN,NN,1,1,preserved
domain,domain,1,domain,domain,1,NN,NN,1,1,preserved
using,using,1,use,use,1,VBG,VBG,1,1,preserved
available,available,1,available,available,1,JJ,JJ,1,1,preserved
in-domain,in-domain,1,in-domain,in-domain,1,JJ,JJ,1,1,preserved
resources,resources,1,resource,resource,1,NNS,NNS,1,1,preserved
\CITE,\CITE,1,\CITE,\CITE,1,NNP,NNP,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
Behind,Underlying,0,Behind,Underlying,0,IN,VBG,1,0,paraphrase
their,these,0,their,these,0,PRPS,DET,0,1,bigrammar-det
approaches,approaches,1,approach,approach,1,NNS,NNS,0,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
there,there,1,there,there,1,RB,RB,1,1,preserved
seems,seems,1,seem,seem,1,VBZ,VBZ,1,1,preserved
to,to,1,to,to,1,TO,TO,1,1,preserved
be,be,1,be,be,1,VB,VB,1,0,preserved
an,the,0,an,the,0,DET,DET,1,1,bigrammar-det
assumption,assumption,1,assumption,assumption,1,NN,NN,0,1,preserved
that,that,1,that,that,1,IN,IN,1,1,preserved
grammatical,grammatical,1,grammatical,grammatical,1,JJ,JJ,1,1,preserved
constructions,constructions,1,construction,construction,1,NNS,NNS,1,1,preserved
are,are,1,be,be,1,VBP,VBP,1,1,preserved
not,not,1,not,not,1,RB,RB,1,1,preserved
largely,largely,1,largely,largely,1,RB,RB,1,1,preserved
different,different,1,different,different,1,JJ,JJ,1,0,preserved
among,between,0,among,between,0,IN,IN,1,1,bigrammar-prep
domains,domains,1,domain,domain,1,NNS,NNS,0,1,preserved
or,or,1,or,or,1,CC,CC,1,1,preserved
do,do,1,do,do,1,VB,VB,1,1,preserved
not,not,1,not,not,1,RB,RB,1,1,preserved
affect,affect,1,affect,affect,1,VB,VB,1,1,preserved
parsing,parsing,1,parse,parse,1,VBG,VBG,1,1,preserved
systems,systems,1,system,system,1,NNS,NNS,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
therefore,therefore,1,therefore,therefore,1,RB,RB,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
same,same,1,same,same,1,JJ,JJ,1,1,preserved
parsing,parsing,1,parse,parse,1,VBG,VBG,1,1,preserved
system,system,1,system,system,1,NN,NN,1,1,preserved
can,can,1,can,can,1,MD,MD,1,1,preserved
be,be,1,be,be,1,VB,VB,1,1,preserved
applied,applied,1,apply,apply,1,VBN,VBN,1,1,preserved
to,to,1,to,to,1,TO,TO,1,1,preserved
a,a,1,a,a,1,DET,DET,1,1,preserved
novel,novel,1,novel,novel,1,NN,NN,1,1,preserved
domain,domain,1,domain,domain,1,NN,NN,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
However,However,1,However,However,1,RB,RB,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
there,there,1,there,there,1,RB,RB,1,1,preserved
are,are,1,be,be,1,VBP,VBP,1,1,preserved
some,some,1,some,some,1,DET,DET,1,1,preserved
cases,cases,1,case,case,1,NNS,NNS,1,1,preserved
where,where,1,where,where,1,WRB,WRB,1,1,preserved
we,we,1,we,we,1,PRP,PRP,1,1,preserved
cannot,cannot,1,cannot,cannot,1,NN,NN,1,1,preserved
achieve,achieve,1,achieve,achieve,1,VB,VB,1,0,preserved
'as as','such as',0,'as as','such as',0,'IN POS','JJ POS',1,1,paraphrase
high,high,1,high,high,1,JJ,JJ,0,1,preserved
parsing,parsing,1,parse,parse,1,VBG,VBG,1,0,preserved
accuracies,accuracy,0,accuracy,accuracy,1,NNS,NN,1,1,bigrammar-others
parsing,parsing,1,parse,parse,1,VBG,VBG,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
'Penn Treebank','Penn Treebank PTB',0,'Penn Treebank','Penn Treebank PTB',0,'NNP POS','NNP NNP POS',1,0,paraphrase
just,merely,0,just,merely,0,RB,RB,0,1,paraphrase
by,by,1,by,by,1,IN,IN,0,1,preserved
re-training,re-training,1,re-training,re-training,1,JJ,JJ,1,1,preserved
or,or,1,or,or,1,CC,CC,1,1,preserved
adaptation,adaptation,1,adaptation,adaptation,1,NN,NN,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
For,For,1,For,For,1,IN,IN,1,1,preserved
example,example,1,example,example,1,NN,NN,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
parsing,parsing,1,parse,parse,1,VBG,VBG,1,1,preserved
accuracy,accuracy,1,accuracy,accuracy,1,NN,NN,1,1,preserved
for,for,1,for,for,1,IN,IN,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
Brown,Brown,1,Brown,Brown,1,NNP,NNP,1,1,preserved
corpus,corpus,1,corpus,corpus,1,NNS,NNS,1,1,preserved
is,is,1,be,be,1,VBZ,VBZ,1,1,preserved
significantly,significantly,1,significantly,significantly,1,RB,RB,1,1,preserved
lower,lower,1,low,low,1,JJR,JJR,1,1,preserved
than,than,1,than,than,1,IN,IN,1,0,preserved
for,for,1,for,for,1,IN,IN,0,1,preserved
the,the,1,the,the,1,DET,DET,1,0,preserved
WSJ,'Wall Street Journal WSJ',0,WSJ,'Wall Street Journal WSJ',0,NNP,'NNP NNP NNP POS',1,0,paraphrase
portion,portion,1,portion,portion,1,NN,NN,0,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
re-training,re-training,1,re-training,re-training,1,JJ,JJ,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
parser,parser,1,parser,parser,1,NN,NN,1,1,preserved
with,with,1,with,with,1,IN,IN,1,1,preserved
much,much,1,much,much,1,RB,RB,1,1,preserved
more,more,1,more,more,1,JJR,JJR,1,1,preserved
in-domain,in-domain,1,in-domain,in-domain,1,JJ,JJ,1,1,preserved
than,than,1,than,than,1,IN,IN,1,1,preserved
other,other,1,other,other,1,JJ,JJ,1,1,preserved
successful,successful,1,successful,successful,1,JJ,JJ,1,1,preserved
domains,domains,1,domain,domain,1,NNS,NNS,1,1,preserved
?,that,0,?,that,0,?,IN,0,0,unaligned
Penn,Penn,1,Penn,Penn,1,NNP,NNP,1,1,preserved
Treebank,Treebank,1,Treebank,Treebank,1,NNP,NNP,1,1,preserved
even,even,1,even,even,1,RB,RB,1,1,preserved
when,when,1,when,when,1,WRB,WRB,1,1,preserved
training,training,1,train,train,1,NN,NN,1,1,preserved
data,data,1,datum,datum,1,NNS,NNS,1,1,preserved
This,This,1,This,This,1,DET,DET,1,1,preserved
research,research,1,research,research,1,NN,NN,1,1,preserved
attempts,attempts,1,attempt,attempt,1,NNS,NNS,1,1,preserved
to,to,1,to,to,1,TO,TO,1,1,preserved
identify,identify,1,identify,identify,1,VB,VB,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
cause,cause,1,cause,cause,1,NN,NN,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
these,these,1,these,these,1,DET,DET,1,1,preserved
difficulties,difficulties,1,difficulty,difficulty,1,NNS,NNS,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
focuses,focuses,1,focus,focus,1,VBZ,VBZ,1,1,preserved
on,on,1,on,on,1,IN,IN,1,1,preserved
two,two,1,two,two,1,CD,CD,1,1,preserved
types,types,1,type,type,1,NNS,NNS,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
sentence,sentence,1,sentence,sentence,1,NN,NN,1,1,preserved
constructions,constructions,1,construction,construction,1,NNS,NNS,1,0,preserved
which,that,0,which,that,0,WDT,IN,1,0,bigrammar-others
were,'have been',0,be,'have be',0,VBD,'VB PPR',0,0,bigrammar-vtense
not,not,1,not,not,1,RB,RB,0,0,preserved
extensively,extensively,1,extensively,extensively,1,RB,RB,0,1,preserved
studied,studied,1,study,study,1,VBN,VBN,1,1,preserved
in,in,1,in,in,1,IN,IN,1,0,preserved
recent,recent,1,recent,recent,1,JJ,JJ,0,1,preserved
parsing,parsing,1,parse,parse,1,VBG,VBG,1,1,preserved
research,research,1,research,research,1,NN,NN,1,1,preserved
:,:,1,:,:,1,PPS,PPS,1,1,preserved
imperatives,imperatives,1,imperative,imperative,1,NNS,NNS,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
questions,questions,1,question,question,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
In,In,1,In,In,1,IN,IN,1,1,preserved
these,these,1,these,these,1,DET,DET,1,1,preserved
constructions,constructions,1,construction,construction,1,NNS,NNS,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
words,words,1,word,word,1,NNS,NNS,1,1,preserved
in,in,1,in,in,1,IN,IN,1,0,preserved
some,certain,0,some,certain,0,DET,JJ,1,1,paraphrase
syntactic,syntactic,1,syntactic,syntactic,1,NN,NN,0,1,preserved
positions,positions,1,position,position,1,NNS,NNS,1,1,preserved
disappear,disappear,1,disappear,disappear,1,VB,VB,1,1,preserved
or,or,1,or,or,1,CC,CC,1,1,preserved
the,the,1,the,the,1,DET,DET,1,0,preserved
orders,order,0,order,order,1,NNS,NN,1,1,bigrammar-others
of,of,1,of,of,1,IN,IN,0,0,preserved
words,words,1,word,word,1,NNS,NNS,0,0,preserved
change,changes,0,change,change,1,NN,NNS,1,1,bigrammar-inter
.,.,1,.,.,1,PP,PP,0,1,preserved
?,the,0,?,the,0,?,DET,0,0,mogrammar-det
We,We,1,We,We,1,PRP,PRP,1,1,preserved
analyze,analyze,1,analyze,analyze,1,VB,VB,1,1,preserved
how,how,1,how,how,1,WRB,WRB,1,1,preserved
such,such,1,such,such,1,JJ,JJ,1,1,preserved
sentences,sentences,1,sentence,sentence,1,NNS,NNS,1,1,preserved
affect,affect,1,affect,affect,1,VB,VB,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
parsing,parsing,1,parse,parse,1,VBG,VBG,1,1,preserved
behavior,behavior,1,behavior,behavior,1,NN,NN,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
then,then,1,then,then,1,RB,RB,1,1,preserved
attempt,attempt,1,attempt,attempt,1,NN,NN,1,1,preserved
to,to,1,to,to,1,TO,TO,1,1,preserved
clarify,clarify,1,clarify,clarify,1,VB,VB,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
difficulties,difficulties,1,difficulty,difficulty,1,NNS,NNS,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
parsing,parsing,1,parse,parse,1,VBG,VBG,1,1,preserved
imperatives,imperatives,1,imperative,imperative,1,NNS,NNS,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
questions,questions,1,question,question,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
'In order to',To,0,'In order to',To,0,'IN NN PPR',TO,1,1,paraphrase
do,do,1,do,do,1,VB,VB,0,1,preserved
so,so,1,so,so,1,RB,RB,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
we,we,1,we,we,1,PRP,PRP,1,0,preserved
prepare,prepare,1,prepare,prepare,1,VB,VB,0,1,preserved
an,an,1,an,an,1,DET,DET,1,1,preserved
annotated,annotated,1,annotate,annotate,1,NN,NN,1,1,preserved
corpus,corpus,1,corpus,corpus,1,NNS,NNS,1,1,preserved
for,for,1,for,for,1,IN,IN,1,1,preserved
each,each,1,each,each,1,DET,DET,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
two,two,1,two,two,1,CD,CD,1,1,preserved
sentence,sentence,1,sentence,sentence,1,NN,NN,1,1,preserved
constructions,constructions,1,construction,construction,1,NNS,NNS,1,1,preserved
by,by,1,by,by,1,IN,IN,1,1,preserved
borrowing,borrowing,1,borrow,borrow,1,NN,NN,1,1,preserved
sentences,sentences,1,sentence,sentence,1,NNS,NNS,1,1,preserved
from,from,1,from,from,1,IN,IN,1,1,preserved
fiction,fiction,1,fiction,fiction,1,NN,NN,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
query,query,1,query,query,1,NN,NN,1,1,preserved
domains,domains,1,domain,domain,1,NNS,NNS,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
?,first,0,?,first,0,?,JJ,0,0,unaligned
In,In,1,In,In,1,IN,IN,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
experiments,experiments,1,experiment,experiment,1,NNS,NNS,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
parsing,parsing,1,parse,parse,1,VBG,VBG,1,1,preserved
accuracies,accuracies,1,accuracy,accuracy,1,NNS,NNS,1,1,preserved
of,of,1,of,of,1,IN,IN,1,1,preserved
two,two,1,two,two,1,CD,CD,1,1,preserved
shallow,shallow,1,shallow,shallow,1,JJ,JJ,1,1,preserved
dependency,dependency,1,dependency,dependency,1,NN,NN,1,1,preserved
parsers,parsers,1,parser,parser,1,NNS,NNS,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
a,a,1,a,a,1,DET,DET,1,1,preserved
deep,deep,1,deep,deep,1,JJ,JJ,1,1,preserved
parser,parser,1,parser,parser,1,NN,NN,1,1,preserved
are,are,1,be,be,1,VBP,VBP,1,1,preserved
examined,examined,1,examine,examine,1,VBN,VBN,1,1,preserved
for,for,1,for,for,1,IN,IN,1,1,preserved
imperatives,imperatives,1,imperative,imperative,1,NNS,NNS,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
questions,questions,1,question,question,1,NNS,NNS,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
as,as,1,as,as,1,IN,IN,1,1,preserved
well,well,1,well,well,1,RB,RB,1,1,preserved
as,as,1,as,as,1,IN,IN,1,1,preserved
the,the,1,the,the,1,DET,DET,1,0,preserved
accuracies,accuracy,0,accuracy,accuracy,1,NNS,NN,1,1,bigrammar-others
of,of,1,of,of,1,IN,IN,0,0,preserved
a,their,0,a,their,0,DET,PRPS,1,1,bigrammar-det
part-of-speech,'part-of-speech POS',0,part-of-speech,'part-of-speech POS',0,JJ,'JJ POS',0,0,paraphrase
tagger,tagger,1,tagger,tagger,1,NN,NN,0,0,preserved
'for them',?,0,'for them',?,0,'IN POS',?,0,0,unaligned
.,.,1,.,.,1,PP,PP,0,1,preserved
A,A,1,A,A,1,DET,DET,1,1,preserved
conventional,conventional,1,conventional,conventional,1,JJ,JJ,1,1,preserved
supervised,supervised,1,supervise,supervise,1,JJ,JJ,1,1,preserved
adaptation,adaptation,1,adaptation,adaptation,1,NN,NN,1,1,preserved
technique,technique,1,technique,technique,1,NN,NN,1,1,preserved
was,was,1,be,be,1,VBD,VBD,1,1,preserved
applied,applied,1,apply,apply,1,VBN,VBN,1,1,preserved
to,to,1,to,to,1,TO,TO,1,1,preserved
these,these,1,these,these,1,DET,DET,1,1,preserved
parsers,parsers,1,parser,parser,1,NNS,NNS,1,1,preserved
and,and,1,and,and,1,CC,CC,1,1,preserved
to,to,1,to,to,1,TO,TO,1,1,preserved
the,the,1,the,the,1,DET,DET,1,1,preserved
POS,POS,1,POS,POS,1,NNP,NNP,1,1,preserved
tagger,tagger,1,tagger,tagger,1,NN,NN,1,1,preserved
.,.,1,.,.,1,PP,PP,1,1,preserved
Since,Since,1,Since,Since,1,IN,IN,1,1,preserved
domain,domain,1,domain,domain,1,NN,NN,1,1,preserved
adaptation,adaptation,1,adaptation,adaptation,1,NN,NN,1,0,preserved
'has been',is,0,'have be',be,0,'VBZ PPR',VBZ,1,1,bigrammar-vtense
an,an,1,an,an,1,DET,DET,0,1,preserved
extensive,extensive,1,extensive,extensive,1,JJ,JJ,1,1,preserved
research,research,1,research,research,1,NN,NN,1,1,preserved
area,area,1,area,area,1,NN,NN,1,1,preserved
in,in,1,in,in,1,IN,IN,1,1,preserved
parsing,parsing,1,parse,parse,1,VBG,VBG,1,1,preserved
research,research,1,research,research,1,NN,NN,1,1,preserved
\CITE,\CITE,1,\CITE,\CITE,1,NNP,NNP,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,0,preserved
'a lot of',many,0,'a lot of',many,0,'DET NN POS',JJ,1,1,paraphrase
ideas,ideas,1,idea,idea,1,NNS,NNS,0,1,preserved
have,have,1,have,have,1,VB,VB,1,1,preserved
been,been,1,be,be,1,VBN,VBN,1,1,preserved
proposed,proposed,1,propose,propose,1,JJ,JJ,1,1,preserved
',',',',1,',',',',1,PPR,PPR,1,1,preserved
